Geneid	control_1	control_2	SRRM2depl_1	SRRM2depl_2	SONdepl_1	SONdepl_2	doubledepl_1	doubledepl_2
ENSG00000226166.2	0	0	0	0	0	0	0	0
ENSG00000188984.11	0	0	0	0	0	0	0	0
ENSG00000157330.9	8	6	8	10	13	4	2	13
ENSG00000116726.4	0	0	0	0	0	0	0	0
ENSG00000116721.9	0	0	0	0	0	0	0	0
ENSG00000228338.1	0	0	0	0	0	0	0	0
ENSG00000239810.3	0	0	0	0	2	0	0	0
ENSG00000231103.2	0	0	0	0	0	0	0	0
ENSG00000179172.9	2	2	1	1	5	4	3	5
ENSG00000120952.4	0	0	0	0	0	0	0	0
ENSG00000243073.3	0	0	0	0	0	0	0	2
ENSG00000187545.5	0	0	0	0	0	0	0	0
ENSG00000204510.5	0	0	0	0	0	0	0	0
ENSG00000207434.1	0	0	0	0	0	0	0	0
ENSG00000234064.1	0	0	0	0	0	0	0	0
ENSG00000232423.6	0	0	0	0	0	0	0	0
ENSG00000274178.2	0	0	0	0	0	0	0	0
ENSG00000274764.5	0	0	0	0	0	0	0	0
ENSG00000277058.2	2	2	0	1	3	4	3	5
ENSG00000229571.7	0	0	0	0	0	0	1	0
ENSG00000277862.1	0	0	0	0	0	0	0	0
ENSG00000236179.1	0	0	0	0	0	0	0	0
ENSG00000275774.2	0	0	1	0	0	0	0	0
ENSG00000229978.1	0	0	0	0	0	0	0	0
ENSG00000233336.1	0	0	0	0	0	0	0	0
ENSG00000280267.4	0	0	0	0	0	0	0	0
ENSG00000179412.10	0	0	0	0	0	0	0	0
ENSG00000204505.4	0	0	0	0	0	0	0	0
ENSG00000279169.2	0	0	0	0	0	0	0	0
ENSG00000279804.2	0	0	0	0	0	0	0	0
ENSG00000250894.1	0	0	0	0	0	0	0	0
ENSG00000270601.4	0	0	0	0	0	0	0	0
ENSG00000231219.1	0	0	0	0	0	0	0	0
ENSG00000207511.1	0	0	0	0	0	0	0	0
ENSG00000182330.10	0	0	0	0	0	0	0	0
ENSG00000237700.2	0	0	0	0	0	0	0	0
ENSG00000204501.7	0	0	0	0	2	0	1	0
ENSG00000228229.2	0	0	0	0	0	0	0	0
ENSG00000204481.7	0	0	0	0	0	0	2	2
ENSG00000204480.8	0	0	0	0	0	0	0	0
ENSG00000204479.4	0	0	0	0	0	0	0	0
ENSG00000204478.9	0	0	0	4	0	0	0	0
ENSG00000162494.5	0	2	0	3	0	2	0	6
ENSG00000259961.1	0	0	0	0	0	0	0	0
ENSG00000215909.3	0	0	0	0	0	0	0	0
ENSG00000162493.16	2	0	0	2	2	0	2	0
ENSG00000222952.1	4	0	2	8	8	0	4	10
ENSG00000237445.2	0	0	0	0	0	0	0	0
