Genes	G:\18.8.23_Michal\CSSdp12_S1-B12_1_3444.d.dia	G:\18.8.23_Michal\CSSdp11_S1-B11_1_3443.d.dia	G:\18.8.23_Michal\CSSdp10_S1-B10_1_3442.d.dia	G:\18.8.23_Michal\CSSde9_S1-B9_1_3441.d.dia	G:\18.8.23_Michal\CSSde8_S1-B8_1_3440.d.dia	G:\18.8.23_Michal\CSSnp6_S1-B6_1_3438.d.dia	G:\18.8.23_Michal\CSSnp5_S1-B5_1_3437.d.dia	G:\18.8.23_Michal\CSSnp4_S1-B4_1_3436.d.dia	G:\18.8.23_Michal\CSSne3_S1-B3_1_3435.d.dia	G:\18.8.23_Michal\CSSne2_S1-B2_1_3434.d.dia	G:\18.8.23_Michal\CSSne1_S1-B1_1_3433.d.dia	G:\18.8.23_Michal\CSSde7_S1-B7_1_3439.d.dia
ACLY	287680	324513	302771	296790	328291	315352	283989	282906	282350	279216	282301	296958
ACO1	73462.3	70667.8	76502.2	77665.2	64384.4	73075	67627.7	77553.1	45071.8	56237.8	70417.4	72499.1
ACO2	49653.5	49231.6	47161.6	58382.2	62693.8	53630	47084.8	53115.8	54074.5	48216.5	54367.4	46471.7
ACOT11	2219.65			3122.2	3730.6				3595.44	3893.25	3808.67	
ACOT13	56519.4	66032.7	64608.1	93896	66352.7	54669	57481.3	66377.9	79251.2	33816.1	53799.6	88866.5
ACOT7	409675	476789	468135	394719	469407	404398	461516	483346	421649	395813	426238	394692
ACOT7L	5148.67	4129.27	2353.89	7370.33		8504.25					1840.08	
ACOT8	4936.75	4689.39	3912.52	7741.92	7002.09	6711.12	3505.24	3552.69	2238.05	3634.5	4523.51	2424.64
ACOT9	26601.5	30547.7	29167.2	25000.6	28332.2	29024.9	28896.6	31197	29061.8	26298.6	27128.8	23300.4
ACOX1	14680.4	13759.3	15675.3	14309.7	15226.1	14792.6	15734.5	13742.9	12051.6	15183.4	13963.1	13708.4
ACP1	88807.3	87128.3	85625.6	79418.7	83020.5	74953.1	67952.1	92715.2	76605.7	52103.2	80954.5	69305.6
ACP6	5807.54	5824.73	4771.86	4968.33	5457.58	5809.55	6672.22	6029.25	7068.4	10343.9	9124.66	8922.42
ACSF2	5996.49	7151.57	6887.19	10765	8181.99	8325.52	5739.29	7398.62	10323.1	8168.15	6902.29	8840.08
ACSF3	25502.1	22163.1	24659.5	22260.4	17402.4	17789.6	24318.6	22069.5	13353.8	26567.8	13409.4	19889.8
ACSL1	10182	9587.49	11859.9	8021.96	7998.56	9829.12	11538.7	9483.55	10081.5	9560.26	10753.3	11345.7
ACSL3	88407.4	101958	93134.4	92717.4	92042.7	77202.7	84742.1	103476	76328	55333.1	74128.1	65484.2
ACSL4	40264.8	41737.3	36966.4	39615.6	37694.2	39603.5	36313.9	38179.7	39831.7	34516.2	38680	32045.2
ACSL5	31326.2	40292.3	37059.4	31164.5	37138.7	31339.1	30730.1	28142	21495.9	32505.2	26886.6	29182.3
ACSS2	5240.51	4763	4945.76	7697.55	5962.13	4385.55	6037.64	4836.37	7554.24	8102.7	6973.1	8278.49
ACTA1	33570.3	3255.1	37501.8	61242	6018.86	42025	35742.8	51126.5	27147.5	28531.3	40497.7	23119.3
ACTB	41191	45783.1	30510.3	40734.2	69530.6	23218.3	27874.9	52452.5	10964.2	13735.7	25633	17967.3
ACTBL2	156903	167359	165218	145149	134115	137876	138673	157770	115349	97185.6	120450	98587.8
ACTG1	39469.7	35183	26065	39166.3	68503	30734.5	34363.6	13649.1	29785.3	33915	48868.8	38184.3
ACTG2	8222.25	10146.5	9708.51	9600.24	10472.6	9585.22	6453.72	10908.7	9710.07	2855.37	9579.71	12197.8
ACTL6A	49175.7	43747.5	43383.4	38591.2	37563.2	46937.7	37580.1	43130.6	42313.7	40792.6	39047.4	36181.7
ACTL6B	11532.6	10072.1	10427.2	8330.35	9218.83	9494.95	10063.9	8160.76	9527.38	8192.21	6382.61	9992.06
ACTN1	386629	379130	407156	360523	329982	345787	367707	372106	403243	377764	379790	377140
ACTN4	656511	690126	683145	736106	720522	718414	739392	737430	709440	702718	689395	719806
ACTR10	15931.6	16713.4	15358.6	18366.3	18547.7	14822.2	14431	15883.6	14550.2	16341.5	15696.2	12299.6
ACTR1A	122246	129666	111048	113474	124463	94207.7	115258	137271	127170	144672	157309	118230
ACTR1B			11086.9				11785.9		2715.28	10220		12143.2
ACTR2	172741	206449	177368	194344	167634	195798	182045	173914	187266	175266	200273	185786
ACTR3	225347	241114	240754	237954	194563	206358	199902	215526	147310	187084	187093	217430
ACTR3B	7382.97	7484.8	5890.53	5359.64	6124.65		4537.71	8037.4	3910.92	1776.59	3808.53	4756.37
ACTR5	12205.8	14978.8	15112.7	12063.8	12947.2	13006.6	14326.6	12158.1	17804	17033.4	15451	17285.4
ACTR6	6396.52	6833.88	6319.37	10133.9	8662.82	12820.5	7143.98	6748.86	8202.19	5353.45	4831.09	8831.86
ACTR8	14242.2	16282.4	17053.6	14976.3	12898.5	16786.6	17744	14579.2	16864.1	14830.8	14667.9	16689.2
ACYP1	50922.4	57097.5	52843.8	61729.8	58258.7	55918.1	23696.7	55650.1	36125.5	16797.8	33772	33767.7
ACYP2	20325.4	29524.5	18345.5	23707.7	31555.9	23387.7	14721.9	24191.4	9555.58	10837.2	14915.9	8371.61
ADA	11941.4	13446.9	12525.8	15854.9	13785	12068.7	15404.2	14968.3	19143	19638.2	17727.2	17922.1
ADAM10	35543.8	37305.7	32078.3	32054.4	29637.9	34829.2	42860.1	35165.6	41536	41920.9	39604.8	43031.1
ADAM17	11678.3	10619.5	9204.78	14610.2	12560	13266.7	13599.8	12579.1	15016.1	13998.2	13469.2	15651.1
ADAM9	86780.6	82846.2	81817.9	84193.5	73566.9	77554.1	79594.5	81870.4	82512.3	84599.3	73994.9	70642.5
ADAP1	1803.49	2744.99	1732.34	4198.33	3334.03	3311.09	2186.98	2503.34	3455.34	2780.29	2457.09	2679.04
ADAR	158431	166095	169404	148848	156353	151576	161009	159608	157689	154561	155229	145125
ADAT2	10102.4	9697.67	8761.97	11131	8432.15	9178.34	10606.6	10369.7	14931.4	11411.2	8492.1	9156.65
ADAT3	8091.03	7265.81	9184.52	6967.78	4751.06	8237.3	7201.16	8455.79	9312.99	10640.1	8053.7	4686.56
ADD1	23138.6	18726.6	23024.5	23756.6	22155.8	22335.7	21679.1	25195.5	28180	23111.3	27296.3	18430.5
ADD3	9069.02	11254.4	13188.9	10030.7	10617.6	9365.43	11158.3	10903.1	9477.29	9766.58	11253.2	10763.6
ADGRA3	38708.4	35330.2	33158.1	36531.7	35208.9	35158.1	28681.7	32461.2	18727.8	24927.8	30577.2	31222
